"Actores","Frecuencia"
"<U+77F3><U+5DDD><U+7531><U+4F9D>|Daisuke Namikawa|Takehito Koyasu|Hidenobu Kiuchi|Haruka Tomatsu|Koki Uchiyama|Aya Endo|Minori Chihara|Kaori Mizuhashi|Rina Sato|Daichi Endo|Mayuno Yasokawa|Megumi Matsumoto|Jouji Nakata|Mugihito|Yasuhiro Mamiya|Yuuki Sanpei|Kozue Harashima|Kanako Sakuragi|Aya Saito|Rie Hikisaka|Sumire Morohoshi|Mitsuru Miyamoto|Emi Shinohara|Hisako Kyoda|Ayako Kawasumi",1
"<U+77F3><U+5DDD><U+7531><U+4F9D>|Minako Kotobuki|Aoi Yuki|Koki Uchiyama|Takehito Koyasu|Aya Endo|Minori Chihara|Haruka Tomatsu|Azusa Tadokoro|Hana Takeda|Riki Kagami|Aya Saito|Jiro Saito|Motoki Sakuma|Yuka Keicho|Kanako Sakuragi|Mirei Kumagai",1
"0.6",2
"0.6|0.6",1
"0.6|0.6|0.6",1
"0.6|0.98|0.84|0.6",1
"0.6|1.09|0.6|0.6|0.6",1
"0.6|1.306|19.231|7.909|2.262|0.6|1.62|1.18|0.6|9.941|0.6|1.061|8.595|1.22",1
"0.6|2.778|1.788|0.652|5.513|0.828",1
"0.857|2.112|0.6|0.6|0.6|0.6",1
"1.4",1
"1.4|5.528|1.4|1.4|1.4|7.758|4.909|1.164|1.149|0.6|1.988",1
"1.716|5.383|3.27|1.321|6.387|7.811|2.941|12.847|7.321|10.076|4.445|5.47|2.82|1.22|4.21|7.398|6.249|6.402|0.6|4.451|3.458|4.997|1.4|1.38|1.025|3.78|6.895|0.6",1
"10.069|2.698|5.904|2.3|1.702|7.357|7.16|4.919|13.613",1
"11.705|8.129|1.62|7.288|13.1|11.646|10.699|1.082",1
"12.37|25.794|8.153|16.304|4.32|13.842|14.42|18.409",1
"12.842|0.6|3.84|2.47",1
"2.124|3.377|20.747|2.809|2.167|1.943",1
"2.359|0.6|3.05|5.202|2.103|1.62|1.361",1
"2.546",1
"2.61|1.22|7.875|4.581|7.449|1.96|7.021|3.93|0.6|3",1
"20.758|0.6|17.655|21.978|12.302|12.693",1
"24.472|14.616|14.372|19.159|7.937|13.367|14.494|23.492|14.515|15.239|10.378|17.469",1
"25.898|16.88|25.615|9.406|10.9|2.09|17.355|3.698|9.464|10.268|29.907|14.289|27.76|9.435|0.6|0.764|6.848|13.79|7.91|13.654|15.535|30.587|10.974|12.842|45.401|18.062|0.6|9.424|8.323|10.625|45.375|21.814|12.781|18.701|17.858|5.668|43.886|60.833|26.075|40.749|16.387|9.342|8.288|2.059|37.365|11.699|40.852|11.388|12.766|1.96|4.647|3.656",1
"28.37|3.419|1.4|0.696|19.626|0.6|0.6|0.6|1.169|0.98|1.4|3.664|5.808|10.689|13.173|0.6|8.707|6.2",1
"3.286|12.693|1.22|0.84|11.827|10.549",1
"4.625|7.19|22.012|3.624|7.869|12.419|3.679",1
"47.619|18.866|28.46|19.69|15.175|12.679|1.98|3.958",1
"5.618",1
