"Director","Frecuencia"
"A.B. Stone",1
"A.R. Murugadoss",1
"Aamir Khan",1
"Aaron Blaise|Robert Walker",1
"Aaron Burns",1
"Aaron Fjellman",1
"Aaron Harvey",1
"Aaron Horvath|Peter Rida Michail",1
"Aaron Moorhead|Justin Benson",1
"Aaron Schneider",2
"Aaron Seltzer",1
"Aaron Sorkin",3
"Aaron Woodley",2
"Aaron Woodley|Dimos Vrysellas",1
"Abby Kohn|Marc Silverstein",1
"Abdellatif Kechiche",1
"Abe Forsythe",1
"Abe Rosenberg Fishbein",1
"Abel Ferrara",2
"Abel Gance",1
"Abel Vang|Burlee Vang",1
"Adam Alleca",1
"Adam Brooks",1
"Adam Egypt Mortimer",1
"Adam Gierasch",1
"Adam Green",4
"Adam Jay Epstein|Andrew Jacobson",1
"Adam Leon",2
"Adam MacDonald",2
"Adam Marcus",1
"Adam Mason",1
"Adam McKay",8
"Adam Muto|Andres Salaff|Elizabeth Ito",1
"Adam Randall",3
"Adam Robitel",4
"Adam Salky",1
"Adam Shankman",9
"Adam Stilwell",1
"Adam Wingard",5
"Adam Wishart",1
"Adam Wood",1
"Adey|Alexander Polinsky|Dayvin Turchiano|Neale Donald Walsch|Peter Wickliffe",1
"Adil El Arbi|Bilall Fallah",1
"Adirek Wattaleela|Jetarin Ratanaserikiat|Sita Likitvanichkul|Apirak Samudkitpaisan|Thanabodee Uawithya",1
"Aditya Chopra",2
"Adolfo Alix Jr.",1
"Adolfo Mart�nez P�rez",1
"Adolfo Mart�nez Solares",1
"Adrian Bol",1
"Adrian Gr�nberg",2
"Adrian Langley",1
"Adrian Lyne",5
"Adrian Teh",1
"Adri�n Caetano",1
"Adri�n Garc�a Bogliano",1
"Afonso Poyart",1
"Agata Alexander",1
"Agnieszka Holland",1
"Agnieszka Wojtowicz-Vosloo",1
"Agn�s Merlet",1
"Agust�n Oso Tapia",1
"Ahn Byoung-wook",1
"Aimee Long",1
"Aina J�rvine|Federico Milella",1
"Ainhoa Rodr�guez",1
"Aisling Walsh",1
"Ajmal Zaheer Ahmad",1
"Akan Satayev",1
"Akihiko Shiota",2
"Akiko Kodama",1
"Akira Kurosawa",11
"Akira Nagai",1
"Akiva Goldsman",2
